Utility,Outage Start,Full Restoration,Outage Duration,Outage Days,Outage Hours,Circuit,Hftd,Total Customers Impacted,Residential Customers,Commercial/Industrial Customers,Medical Baseline Customers,Other Customers,Residential,Commercial,Medical,Other
SCE,2019-10-24 05:33:00,2019-10-25 17:01:00,"1 days,11 hrs,28 min",1.4777777777781012,35.46666666667443,CLUB OAKS 33KV,Tier 2/Tier 3,2.0,0.0,2.0,0.0,2.0,False,True,False,True
SCE,2019-10-24 05:33:00,2019-10-25 17:01:00,"1 days,11 hrs,28 min",1.4777777777781012,35.46666666667443,KIMBERLY 2.4KV,,50.0,44.0,6.0,0.0,6.0,True,True,False,True
SCE,2019-10-24 05:35:00,2019-10-25 17:20:00,"1 days,11 hrs,45 min",1.4895833333284827,35.749999999883585,SUTT 12KV,,27.0,19.0,8.0,0.0,8.0,True,True,False,True
SCE,2019-10-24 05:38:00,2019-10-25 14:58:00,"1 days,9 hrs,20 min",1.3888888888905058,33.33333333337214,ECHO 12KV,,87.0,82.0,2.0,2.0,4.0,True,True,True,True
SCE,2019-10-24 06:08:00,2019-10-25 15:41:00,"1 days,9 hrs,33 min",1.397916666661331,33.54999999987194,ANTON,Tier 3,286.0,237.0,47.0,1.0,48.0,True,True,True,True
SCE,2019-10-24 07:17:00,2019-10-25 13:40:00,"1 days,6 hrs,23 min",1.265972222223354,30.383333333360497,ESTABAN 16KV,Tier 2/Tier 3,356.0,310.0,44.0,2.0,46.0,True,True,True,True
SCE,2019-10-24 07:51:00,2019-10-24 10:10:00,"0 days,2 hrs,19 min",0.09652777777955635,2.3166666667093523,TRUMPET 16KV,,12.0,10.0,2.0,0.0,2.0,True,True,False,True
SCE,2019-10-24 08:12:00,2019-10-25 12:29:00,"1 days,4 hrs,17 min",1.1784722222218988,28.283333333325572,PETIT 16KV,,22.0,8.0,14.0,0.0,14.0,True,True,False,True
SCE,2019-10-24 08:14:00,2019-10-25 10:18:00,"1 days,2 hrs,4 min",1.086111111115315,26.06666666676756,RAINBOW 16KV,Tier 2/Tier 3,19.0,17.0,2.0,0.0,2.0,True,True,False,True
SCE,2019-10-24 08:51:00,2019-10-25 20:49:00,"1 days,11 hrs,58 min",1.4986111111065838,35.96666666655801,LOUCKS 12KV,Tier 3,56.0,56.0,0.0,0.0,0.0,True,False,False,False
SCE,2019-10-24 08:51:00,2019-10-28 19:02:00,"4 days,10 hrs,11 min",4.424305555556202,106.18333333334886,DAVENPORT 16KV,Tier 3,1460.0,1386.0,37.0,23.0,60.0,True,True,True,True
SCE,2019-10-24 08:59:00,2019-10-27 15:48:00,"3 days,6 hrs,49 min",3.2840277777795563,78.81666666670935,ARLENE 16KV,,1561.0,1484.0,35.0,36.0,71.0,True,True,True,True
SCE,2019-10-24 09:07:00,2019-10-27 10:53:00,"3 days,1 hrs,46 min",3.0736111111109494,73.76666666666279,SHOVEL 12KV,Tier 3,413.0,394.0,9.0,8.0,17.0,True,True,True,True
SCE,2019-10-24 09:27:00,2019-10-25 06:38:00,"0 days,21 hrs,11 min",0.882638888884685,21.18333333323244,MACIEL 12KV,,14.0,10.0,4.0,0.0,4.0,True,True,False,True
SCE,2019-10-24 09:41:00,2019-10-25 17:05:00,"1 days,7 hrs,24 min",1.3083333333343035,31.400000000023283,ENERGY 16KV,Tier 3,1810.0,1702.0,83.0,16.0,99.0,True,True,True,True
SCE,2019-10-24 09:48:00,2019-10-25 18:41:00,"1 days,8 hrs,53 min",1.3701388888875954,32.88333333330229,CALSTATE 12KV,Tier 2/Tier 3,10.0,6.0,4.0,0.0,4.0,True,True,False,True
SCE,2019-10-24 10:35:00,2019-10-25 13:31:00,"1 days,2 hrs,56 min",1.1222222222277196,26.93333333346527,PYTHON 16KV,,1425.0,1342.0,45.0,28.0,73.0,True,True,True,True
SCE,2019-10-24 10:36:00,2019-10-25 16:48:00,"1 days,6 hrs,12 min",1.258333333331393,30.199999999953434,GUITAR 16KV,Tier 3,38.0,9.0,29.0,0.0,29.0,True,True,False,True
SCE,2019-10-24 10:46:00,2019-10-26 14:56:00,"2 days,4 hrs,10 min",2.1736111111094942,52.16666666662786,BOUQUET 16KV,Tier 3,734.0,681.0,24.0,20.0,44.0,True,True,True,True
SCE,2019-10-24 11:12:00,2019-10-28 17:56:00,"4 days,6 hrs,44 min",4.280555555553292,102.733333333279,SAND CANYON 16KV,Tier 3,2206.0,2071.0,73.0,52.0,125.0,True,True,True,True
SCE,2019-10-24 11:22:00,2019-10-25 17:28:00,"1 days,6 hrs,6 min",1.2541666666656965,30.099999999976717,DE MILLE 4KV,,249.0,242.0,3.0,3.0,6.0,True,True,True,True
SCE,2019-10-24 11:22:00,2019-10-25 17:28:00,"1 days,6 hrs,6 min",1.2541666666656965,30.099999999976717,LOPEZ 16KV,,147.0,129.0,16.0,1.0,17.0,True,True,True,True
SCE,2019-10-24 11:23:00,2019-10-25 11:17:00,"0 days,23 hrs,54 min",0.9958333333270275,23.89999999984866,STUBBY 33KV,,0.0,0.0,0.0,0.0,0.0,False,False,False,False
SCE,2019-10-24 11:23:00,2019-10-25 11:17:00,"0 days,23 hrs,54 min",0.9958333333270275,23.89999999984866,GUNSITE 2.4KV,,5.0,2.0,3.0,0.0,3.0,True,True,False,True
SCE,2019-10-24 11:23:00,2019-10-25 11:17:00,"0 days,23 hrs,54 min",0.9958333333270275,23.89999999984866,PHEASANT 12KV,Tier 2/Tier 3,175.0,168.0,3.0,2.0,5.0,True,True,True,True
SCE,2019-10-24 11:33:00,2019-10-25 11:52:00,"1 days,0 hrs,19 min",1.0131944444437977,24.316666666651145,BALCOM 16KV,Tier 2/Tier 3,1536.0,1476.0,45.0,12.0,57.0,True,True,True,True
SCE,2019-10-24 11:43:00,2019-10-25 09:27:00,"0 days,21 hrs,44 min",0.9055555555605679,21.73333333345363,STEEL 12KV,Tier 3,34.0,11.0,22.0,0.0,22.0,True,True,False,True
SCE,2019-10-24 11:47:00,2019-10-25 01:27:00,"0 days,13 hrs,40 min",0.5694444444452529,13.66666666668607,ZONE 16KV,,1231.0,1149.0,56.0,23.0,79.0,True,True,True,True
SCE,2019-10-24 13:07:00,2019-10-25 03:25:00,"0 days,14 hrs,18 min",0.5958333333328483,14.299999999988358,TUBA 16KV,,25.0,2.0,21.0,0.0,21.0,True,True,False,True
SCE,2019-10-24 17:04:00,2019-10-25 11:35:00,"0 days,18 hrs,31 min",0.7715277777824667,18.5166666667792,DARTMOUTH 12KV,,1335.0,1221.0,62.0,40.0,102.0,True,True,True,True
SCE,2019-10-24 21:10:00,2019-10-25 13:50:00,"0 days,16 hrs,40 min",0.6944444444452529,16.66666666668607,RED BOX 4KV,,29.0,21.0,7.0,0.0,7.0,True,True,False,True
SCE,2019-10-26 16:54:00,2019-10-27 10:53:00,"0 days,17 hrs,59 min",0.7493055555532919,17.983333333279006,SHOVEL 12KV,Tier 3,9.0,2.0,7.0,0.0,7.0,True,True,False,True
SCE,2019-10-27 03:57:00,2019-10-27 16:33:00,"0 days,12 hrs,36 min",0.5250000000014552,12.600000000034925,PENSTOCK,,370.0,0.0,32.0,8.0,0.0,False,True,True,False
SCE,2019-10-27 16:06:00,2019-10-28 15:13:00,"0 days,23 hrs,7 min",0.9631944444481633,23.11666666675592,STEVENSON,,39.0,36.0,3.0,0.0,0.0,True,True,False,False
SCE,2019-10-27 17:26:00,2019-10-28 14:53:00,"0 days,21 hrs,27 min",0.8937499999956344,21.449999999895226,MANIFOLD,,0.0,0.0,0.0,0.0,0.0,False,False,False,False
SCE,2019-10-27 20:04:00,2019-10-28 14:55:00,"0 days,18 hrs,51 min",0.7854166666729725,18.85000000015134,JUMBO,,0.0,0.0,0.0,0.0,0.0,False,False,False,False
SCE,2019-10-27 20:04:00,2019-10-28 15:29:00,"0 days,19 hrs,25 min",0.8090277777810115,19.416666666744277,MUSICK,,0.0,0.0,0.0,0.0,0.0,False,False,False,False
SCE,2019-10-27 20:05:00,2019-10-28 18:53:00,"0 days,22 hrs,48 min",0.9500000000043656,22.800000000104774,HUCKLEBERRY,,173.0,159.0,8.0,4.0,0.0,True,True,True,False
SCE,2019-10-27 21:22:00,2019-10-28 15:47:00,"0 days,18 hrs,25 min",0.7673611111094942,18.41666666662786,SHOVEL,,9.0,2.0,7.0,0.0,0.0,True,True,False,False
SCE,2019-10-27 21:36:00,2019-10-29 12:41:00,"1 days,15 hrs,5 min",1.6284722222189885,39.08333333325572,RED BOX,,29.0,0.0,7.0,0.0,0.0,False,True,False,False
SCE,2019-10-28 01:11:00,2019-10-29 10:05:00,"1 days,8 hrs,54 min",1.3708333333343035,32.90000000002328,CASTRO,,2299.0,2226.0,49.0,19.0,0.0,True,True,True,False
SCE,2019-10-28 01:11:00,2019-10-28 13:27:00,"0 days,12 hrs,16 min",0.5111111111109494,12.266666666662786,MCKEVETT,,289.0,282.0,1.0,2.0,0.0,True,True,True,False
SCE,2019-10-28 03:45:00,2019-10-28 14:28:00,"0 days,10 hrs,43 min",0.44652777777810115,10.716666666674428,TAHQUITZ,,133.0,121.0,9.0,2.0,0.0,True,True,True,False
SCE,2019-10-28 04:18:00,2019-10-28 15:35:00,"0 days,11 hrs,17 min",0.4701388888861402,11.283333333267365,CASMALIA,,2023.0,1847.0,127.0,42.0,0.0,True,True,True,False
SCE,2019-10-28 04:24:00,2019-10-29 11:01:00,"1 days,6 hrs,37 min",1.2756944444408873,30.616666666581295,PETIT,,1075.0,1002.0,65.0,6.0,0.0,True,True,True,False
SCE,2019-10-28 04:32:00,2019-10-28 16:58:00,"0 days,12 hrs,26 min",0.5180555555562023,12.433333333348855,ANTON,Tier 3,287.0,237.0,48.0,1.0,0.0,True,True,True,False
SCE,2019-10-28 04:32:00,2019-10-29 12:41:00,"1 days,8 hrs,9 min",1.3395833333343035,32.15000000002328,ENERGY,,1808.0,1700.0,83.0,16.0,0.0,True,True,True,False
SCE,2019-10-28 04:54:00,2019-10-28 17:13:00,"0 days,12 hrs,19 min",0.5131944444437977,12.316666666651145,BIG ROCK,,2931.0,2827.0,47.0,48.0,0.0,True,True,True,False
SCE,2019-10-28 04:55:00,2019-10-28 17:26:00,"0 days,12 hrs,31 min",0.5215277777824667,12.516666666779201,PICK,,987.0,921.0,34.0,27.0,0.0,True,True,True,False
SCE,2019-10-28 05:21:00,2019-10-28 17:56:00,"0 days,12 hrs,35 min",0.5243055555547471,12.58333333331393,SAND CANYON,,2206.0,2071.0,73.0,52.0,0.0,True,True,True,False
SCE,2019-10-28 05:31:00,2019-10-28 19:02:00,"0 days,13 hrs,31 min",0.5631944444467081,13.516666666720994,DAVENPORT,,1461.0,1387.0,37.0,23.0,0.0,True,True,True,False
SCE,2019-10-28 05:31:00,2019-10-28 15:36:00,"0 days,10 hrs,5 min",0.42013888889050577,10.083333333372138,ESCONDIDO,,0.0,0.0,0.0,0.0,0.0,False,False,False,False
SCE,2019-10-28 05:31:00,2019-10-28 19:02:00,"0 days,13 hrs,31 min",0.5631944444467081,13.516666666720994,LOUCKS,,56.0,56.0,0.0,0.0,0.0,True,False,False,False
SCE,2019-10-28 05:41:00,2019-10-28 15:14:00,"0 days,9 hrs,33 min",0.3979166666686069,9.550000000046566,MORA,,2460.0,2342.0,67.0,45.0,0.0,True,True,True,False
SCE,2019-10-28 05:57:00,2019-10-28 18:44:00,"0 days,12 hrs,47 min",0.5326388888861402,12.783333333267365,BOOTLEGGER,,1497.0,1398.0,61.0,28.0,0.0,True,True,True,False
SCE,2019-10-28 06:43:00,2019-10-28 17:26:00,"0 days,10 hrs,43 min",0.44652777777810115,10.716666666674428,GUITAR,,255.0,134.0,119.0,0.0,0.0,True,True,False,False
SCE,2019-10-28 06:49:00,2019-10-29 09:55:00,"1 days,3 hrs,6 min",1.1291666666656965,27.099999999976717,ACOSTA,,1243.0,1139.0,63.0,36.0,0.0,True,True,True,False
SCE,2019-10-28 07:36:00,2019-10-28 22:07:00,"0 days,14 hrs,31 min",0.6048611111109494,14.516666666662786,BALCOM,,1535.0,1475.0,45.0,12.0,0.0,True,True,True,False
SCE,2019-10-28 08:42:00,2019-10-28 18:39:00,"0 days,9 hrs,57 min",0.4145833333313931,9.949999999953434,ZONE,,1230.0,1148.0,56.0,23.0,0.0,True,True,True,False
SCE,2019-10-28 08:46:00,2019-10-28 15:25:00,"0 days,6 hrs,39 min",0.27708333333430346,6.650000000023283,PURCHASE,,238.0,147.0,90.0,1.0,0.0,True,True,True,False
SCE,2019-10-28 08:55:00,2019-10-29 09:56:00,"1 days,1 hrs,1 min",1.0423611111109494,25.016666666662786,CLUB OAKS,,2.0,0.0,2.0,0.0,0.0,False,True,False,False
