StationNbr,Name,City,RegionalOffice,County,ConnectDate,DisconnectDate,IsActive,IsEtoStation,Elevation,GroundCover,HmsLatitude,HmsLongitude,ZipCodes,SitingDesc,Latitude,Longitude
98,Ramona,Ramona,Southern Region Office,San Diego,4/20/1991,5/28/1998,False,True,1340,Grass,33º2'58N ,-116º56'18W ,['92065'],, 33.049444, -116.938330
99,Santa Monica,Santa Monica,Southern Region Office,Los Angeles,12/11/1992,5/8/2050,True,True,340,Grass,34º2'40N ,-118º28'37W ,"['90411', '90410', '90409', '90408', '90407', '90406', '90405', '90404', '90403', '90402', '90401']",, 34.044311, -118.476890
100,Fremont,Fremont,North Central Region Office,Alameda,8/29/1991,6/19/2000,False,True,40,Grass,37º31'33N ,-121º58'3W ,"['94555', '94539', '94538', '94537', '94536']",, 37.525853, -121.967580
101,Piru,Piru,Southern Region Office,Ventura,8/27/1991,2/20/2005,False,True,640,Alfalfa,34º22'30N ,-118º47'20W ,['93040'],, 34.3750, -118.788890
102,El Dorado,Long Beach,Southern Region Office,Los Angeles,10/24/1990,10/20/1999,False,True,17,Grass,33º47'50N ,-118º5'38W ,"['90899', '90888', '90853', '90848', '90847', '90846', '90845', '90842', '90840', '90835', '90834', '90833', '90832', '90831', '90822', '90814', '90813', '90810', '90809', '90808', '90807', '90806', '90805', '90804', '90803', '90802', '90801', '90749', '90747', '90746', '90745']",, 33.797222, -118.093890
103,Windsor,Windsor,North Central Region Office,Sonoma,12/14/1990,12/31/2050,True,True,92,Grass,38º31'36N ,-122º48'50W ,"['95492', '95439', '95448', '95436']",, 38.526650, -122.813758
104,De Laveaga,Santa Cruz,South Central Region Office,Santa Cruz,9/28/1990,12/31/2050,True,True,300,Grass,36º59'51N ,-121º59'48W ,"['95065', '95064', '95018', '95067', '95063', '95073']",, 36.997444, -121.996760
105,Westlands,Tranquility,South Central Region Office,Fresno,4/17/1992,12/31/2050,True,True,191,Grass,36º38'3N ,-120º22'55W ,"['93668', '93640']",, 36.634028, -120.381810
106,Sanel Valley,Hopland,North Central Region Office,Mendocino,2/1/1991,7/27/2050,True,True,525,Grass,38º58'57N ,-123º5'21W ,['95449'],, 38.982581, -123.089280
107,Santa Barbara,Santa Barbara,Southern Region Office,Santa Barbara,4/7/1993,12/31/2050,True,True,250,Grass,34º26'14N ,-119º44'15W ,"['93199', '93190', '93160', '93150', '93140', '93130', '93129', '93128', '93127', '93126', '93125', '93124', '93123', '93122', '93121', '93120', '93118', '93117', '93116', '93111', '93110', '93109', '93106', '93107', '93105', '93103', '93102', '93101']",, 34.437353, -119.737420
108,Gerber Dryland,Gerber,Northern Region Office,Tehama,3/11/1991,5/12/1998,False,True,245,Bare,40º2'34N ,-122º9'44W ,['96035'],, 40.042778, -122.162220
109,Carneros,Napa,North Central Region Office,Napa,3/11/1993,12/31/2030,True,True,5,Grass,38º13'10N ,-122º21'18W ,"['94592', '94591', '94590', '94589', '94581', '94559', '94558', '94503']",, 38.219503, -122.354960
110,Newberry Springs,Dagget,Southern Region Office,San Bernardino,2/21/1992,12/27/1996,False,True,1929,Grass,34º50'26N ,-116º38'30W ,"['92365', '92338']",, 34.840556, -116.641670
111,Green Valley Road,Watsonville,South Central Region Office,Santa Cruz,5/29/1992,1/28/2021,False,False,110,Grass,36º56'38N ,-121º45'50W ,"['95077', '95076', '95075', '95019', '95018']",, 36.943964, -121.763940
112,San Ardo,San Lucas,South Central Region Office,Monterey,6/18/1993,3/13/1995,False,True,374,Grass,36º4'44N ,-120º57'28W ,['93450'],, 36.078889, -120.957780
113,King City-Oasis Rd.,King City,South Central Region Office,Monterey,6/12/1993,12/31/2030,True,True,540,Grass,36º7'16N ,-121º5'4W ,['93930'],, 36.121083, -121.084570
114,Arroyo Seco,Soledad,South Central Region Office,Monterey,6/18/1993,12/31/2030,True,True,235,Grass,36º20'50N ,-121º17'29W ,['93927'],, 36.347306, -121.291350
115,Gonzales,Salinas,South Central Region Office,Monterey,6/12/1993,11/10/1998,False,True,146,Grass,36º30'35N ,-121º30'57W ,"['93926', '93026']",, 36.509750, -121.515970
116,Salinas North,Salinas,South Central Region Office,Monterey,6/18/1993,12/31/2050,True,False,61,Grass,36º43'1N ,-121º41'31W ,"['93962', '93915', '93912', '93908', '93907', '93906', '93905', '93902', '93901']",, 36.716806, -121.691890
117,Victorville,Victorville,Southern Region Office,San Bernardino,2/1/1994,12/31/2050,True,True,2890,Grass,34º28'33N ,-117º15'49W ,"['92394', '92393', '92392']",, 34.475914, -117.263510
118,Cathedral City,Cathedral City,Southern Region Office,Riverside,12/7/1995,10/9/2014,False,True,392,Grass,33º50'29N ,-116º28'43W ,"['92235', '92234']",, 33.841292, -116.478730
119,Putah Creek,Winters,North Central Region Office,Solano,8/21/1993,1/25/1995,False,True,180,Grass,38º29'32N ,-122º0'14W ,['95694'],, 38.492167, -122.003930
120,Guadalupe,Guadalupe,Southern Region Office,Santa Barbara,12/24/1993,11/28/2000,False,False,110,Grass,34º57'46N ,-120º32'55W ,['93434'],, 34.962778, -120.548610
121,Dixon,Dixon,North Central Region Office,Solano,9/20/1994,12/31/2050,True,True,37,Grass,38º24'56N ,-121º47'13W ,['95620'],, 38.415564, -121.786910
122,Hastings Tract,Dixon,North Central Region Office,Solano,3/28/1995,6/10/2009,False,True,10,Grass,38º16'59N ,-121º47'26W ,"['95689', '95688', '95687', '94571']",, 38.283075, -121.7906
